Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|PUERTO BARRIOS|15/12/2015| 87032369|2005|AUDI|A4 2.0T QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|15883.42|1906.01|
HUNGRIA|CENTRAL DE GUATEMALA|18/12/2015| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|156476.99|18777.24|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|18/12/2015| 87032369|2007|AUDI|A4 QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|25549.34|3065.92|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|17/12/2015| 87032379|2015|AUDI|A5 SEDAN|2995|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|332848.73|39941.85|
ESTADOS UNIDOS|PUERTO BARRIOS|26/12/2015| 87032369|2009|AUDI|A4 2.0T QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|27089.54|3250.74|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|08/12/2015| 87033269|2016|AUDI|Q5|1968|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|216206.3|25944.76|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|07/01/2016| 87032369|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|232249.51|27869.94|
ESTADOS UNIDOS|PUERTO BARRIOS|29/12/2015| 87032369|1999|AUDI|A4 1.8T QUATTRO|1800|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|6799.93|815.99|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|14/12/2015| 87032369|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|231987.04|27838.44|
HUNGRIA|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|149978.84|17997.46|
HUNGRIA|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|147350.96|17682.12|
HUNGRIA|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|147350.96|17682.12|
HUNGRIA|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|147350.96|17682.12|
HUNGRIA|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|149978.84|17997.46|
HUNGRIA|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|149978.84|17997.46|
HUNGRIA|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|149978.84|17997.46|
HUNGRIA|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|149978.84|17997.46|
ESTADOS UNIDOS|PUERTO BARRIOS|21/12/2015| 87032369|2003|AUDI|A4 1.8T|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|12468.35|1496.2|
ESTADOS UNIDOS|PUERTO BARRIOS|21/12/2015| 87032369|2007|AUDI|A4 2.0T QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|14207.05|1704.85|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|07/01/2016| 87032369|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|232148.67|27857.84|
ESTADOS UNIDOS|PUERTO BARRIOS|19/12/2015| 87032369|2006|AUDI|A4 2.0T QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|18197.28|2183.67|
